token,platform,company_name,job_count,http_status,match_status,sponsor_id,sponsor_name,match_confidence,filings_last_3_years,last_filing_year,source_url,crawl_id,error
=,ashby,,0,404,not_validated,,,,,,https://jobs.ashbyhq.com/=,CC-MAIN-2026-21,HTTP Error 404: Not Found
a-place-for-mom,ashby,,57,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/a-place-for-mom/6e61c528-fe1c-4335-88cf-185e3ae46062,CC-MAIN-2026-34,
a-team,ashby,,2,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/a-team/,CC-MAIN-2026-34,
A1%20Garage%20Door%20Service,ashby,,48,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/A1%20Garage%20Door%20Service/33ebb068-1730-483b-be3c-a401108b437f?utm_id=5433340&utm_source=Content+Job+Board,CC-MAIN-2026-34,
a16z-new-media,ashby,,20,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/a16z-new-media,CC-MAIN-2026-34,
aacigroup,ashby,,3,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/aacigroup/0b064fc8-26ba-41b7-9252-34b83689655e,CC-MAIN-2026-25,
Aaron-School,ashby,,2,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/Aaron-School,CC-MAIN-2026-30,
abacum,ashby,,15,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/abacum/0ac90a68-6db0-4a23-85ec-5198ea0b5c5f,CC-MAIN-2026-34,
abby-care,ashby,,22,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/abby-care/02bb65f5-89dc-4562-bd25-5e193cc9008b/application,CC-MAIN-2026-34,
abe,ashby,,0,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/abe/8f4f9597-92ff-4acf-9428-76d9fb7aaff2/application,CC-MAIN-2026-34,
abound,ashby,,21,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/abound/64bec96e-e8dc-4e5a-9b19-56f1e6d2d071,CC-MAIN-2026-34,
Abridge,ashby,,41,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/Abridge/03957c9d-d3c0-4699-8ca9-7613bb7b2956?utm_source=Redpoint+Ventures+job+board&utm_medium=getro.com&gh_src=Redpoint+Ventures+job+board,CC-MAIN-2026-34,
absentia-labs,ashby,,2,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/absentia-labs/065ff1cf-3b47-46c5-85c7-efbd388ae08e,CC-MAIN-2026-30,
absorblms,ashby,,33,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/absorblms/1ab91f0f-e0a0-4b42-aadd-bf705bd34be0,CC-MAIN-2026-34,
abstraction.games,ashby,,0,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/abstraction.games/4e85de38-fb10-4005-a9b7-aea9aca52c0d,CC-MAIN-2026-25,
abundant,ashby,,7,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/abundant,CC-MAIN-2026-34,
abusix,ashby,,0,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/abusix/2f91fb5a-d612-4f39-b41c-9dadd8f79c76,CC-MAIN-2026-30,
Accelevents,ashby,,0,404,not_validated,,,,,,https://jobs.ashbyhq.com/Accelevents/b6891551-5630-4159-a9cb-4f94d2f7644a,CC-MAIN-2026-21,HTTP Error 404: Not Found
access,ashby,,15,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/access,CC-MAIN-2026-34,
Accord,ashby,,4,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/Accord/661658ec-a426-41be-8c43-559ef5904bb0,CC-MAIN-2026-34,
accurx,ashby,,14,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/accurx/0000fb2a-59e7-47a3-a956-4a27bdc08f31,CC-MAIN-2026-34,
acd,ashby,,1,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/acd,CC-MAIN-2026-25,
ace-1-media,ashby,,3,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/ace-1-media/0487188f-af6f-4287-8083-546e2899f5af,CC-MAIN-2026-30,
aceve,ashby,,14,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/aceve,CC-MAIN-2026-30,
achilleshr,ashby,,2,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/achilleshr/3dc60ad8-8913-4ec5-bb62-c0ae5ec1c0a5,CC-MAIN-2026-30,
achira,ashby,,8,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/achira/083f473d-0204-4822-a62b-ea2dcfab50d4,CC-MAIN-2026-34,
aclima,ashby,,0,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/aclima/d28f1791-b71c-4e71-a832-385f0d637935,CC-MAIN-2026-30,
Acorns,ashby,,11,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/Acorns/3187102e-20a1-4d18-a347-430fe632ac9b?utm_source=remoteaccountingcareers,CC-MAIN-2026-34,
acquird,ashby,,7,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/acquird/f5fd39c9-b76b-404d-8097-0c99d5980d14,CC-MAIN-2026-25,
acquisition,ashby,,13,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/acquisition/a5364553-623e-4391-97d6-acb9f3d29774,CC-MAIN-2026-34,
across-ai,ashby,,0,404,not_validated,,,,,,https://jobs.ashbyhq.com/across-ai/4e258b9d-9494-4237-bd0d-edd51b356a4c,CC-MAIN-2026-30,HTTP Error 404: Not Found
activesite,ashby,,3,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/activesite,CC-MAIN-2026-34,
adapt,ashby,,2,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/adapt,CC-MAIN-2026-34,
adaption,ashby,,9,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/adaption/18ee262e-9fb7-4ca2-834b-1a50c215299b,CC-MAIN-2026-34,
Adaptive,ashby,,12,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/Adaptive/4bf17057-fc16-4f74-9347-2ad7b4e25e78?utm_source=Emergence+Capital+job+board&utm_medium=getro.com&gh_src=Emergence+Capital+job+board,CC-MAIN-2026-34,
adaptive-innovations,ashby,,6,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/adaptive-innovations/04788c6a-8403-48d5-98f7-01a3bfe842dc,CC-MAIN-2026-30,
adaptive-ml,ashby,,0,404,not_validated,,,,,,https://jobs.ashbyhq.com/adaptive-ml/475f3af1-65f3-44f1-8707-b2feaa589f47,CC-MAIN-2026-30,HTTP Error 404: Not Found
adaptivesecurity,ashby,,15,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/adaptivesecurity/172a6d44-970d-4174-9b80-f13b6b21009c,CC-MAIN-2026-34,
adapty-io,ashby,,5,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/adapty-io/5e86460b-4d84-424f-9232-7d816eac2564/application,CC-MAIN-2026-34,
adaptyv,ashby,,36,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/adaptyv/08d139bb-7a3f-440a-8a12-ec2ed3141ade,CC-MAIN-2026-34,
adclear,ashby,,4,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/adclear/20b42437-3bec-4220-8299-57d29751a817,CC-MAIN-2026-34,
Addi,ashby,,29,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/Addi/11c3a601-4704-4390-a6be-1183ea223bad/application,CC-MAIN-2026-34,
additiveai,ashby,,3,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/additiveai,CC-MAIN-2026-34,
adelphi-ai,ashby,,2,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/adelphi-ai/1d61f60a-281c-4a62-9e55-b408685e9ad7,CC-MAIN-2026-25,
adept.ai,ashby,,0,404,not_validated,,,,,,https://jobs.ashbyhq.com/adept.ai/53c46213-8140-4c5a-a98f-da83b394f681?utm_source=aistartup.jobs&utm_medium=referral&utm_campaign=new-ai-startup-jobs-week-beginning-june-11th-2024,CC-MAIN-2026-30,HTTP Error 404: Not Found
aditude,ashby,,7,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/aditude,CC-MAIN-2026-30,
adjoe,ashby,,42,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/adjoe/25fd58c5-def8-4ba2-8216-8d651df6129d,CC-MAIN-2026-34,
adonis,ashby,,7,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/adonis/7ff49368-516b-4da5-8e3b-38a5a4658588,CC-MAIN-2026-30,
adthena,ashby,,10,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/adthena/97e15863-1bc9-425a-9d2f-c642a052d927?utm_source=Updata+Partners+job+board&utm_medium=getro.com&gh_src=Updata+Partners+job+board,CC-MAIN-2026-34,
aduro-advisors,ashby,,4,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/aduro-advisors,CC-MAIN-2026-34,
aerovect,ashby,,39,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/aerovect,CC-MAIN-2026-34,
aerovy,ashby,,2,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/aerovy,CC-MAIN-2026-34,
aescape,ashby,,6,200,sponsor_matched,aescape-inc,Aescape Inc,0.99,2,2025,https://jobs.ashbyhq.com/aescape/9a658144-ec44-4efd-b226-e74675d59c66/application,CC-MAIN-2026-30,
aetherflux,ashby,,0,404,not_validated,,,,,,https://jobs.ashbyhq.com/aetherflux/03efa560-4839-418f-9960-4f04bbc67db4?utm_source=Breakthrough+Energy+Ventures+job+board&utm_medium=getro.com&gh_src=Breakthrough+Energy+Ventures+job+board,CC-MAIN-2026-25,HTTP Error 404: Not Found
AfterQuery,ashby,,33,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/AfterQuery/174889e7-829e-4666-94a6-14687cf01d5e,CC-MAIN-2026-34,
agavegames,ashby,,4,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/agavegames/0b24cc8a-0ce5-495b-b7b7-dcb3b734e831,CC-MAIN-2026-30,
Agent,ashby,,32,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/Agent/05060be6-2722-49f8-b1d8-756f43f13a99/application?utm_data=hiring.lat,CC-MAIN-2026-34,
agentio,ashby,,19,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/agentio/3db7bced-ea4b-410a-a68c-c85eda2ee76c,CC-MAIN-2026-34,
agentis-capital-advisors,ashby,,29,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/agentis-capital-advisors/853e0825-02b7-4bd7-a672-da4bcfa16440,CC-MAIN-2026-34,
agentmail,ashby,,6,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/agentmail/0f25ff04-0250-4c8c-b9a6-00b164f1f19a,CC-MAIN-2026-34,
agi-inc,ashby,,6,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/agi-inc/3f5a1963-8638-47c1-8711-9ceaf179e230/application?utm_source=thehomebase&ref=thehomebase,CC-MAIN-2026-30,
agora,ashby,,0,404,not_validated,,,,,,https://jobs.ashbyhq.com/agora/afc0271e-875d-411f-b6f9-a4f00967b42b,CC-MAIN-2026-17,HTTP Error 404: Not Found
agreena,ashby,,1,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/agreena,CC-MAIN-2026-30,
Agrigistics,ashby,,0,404,not_validated,,,,,,https://jobs.ashbyhq.com/Agrigistics,CC-MAIN-2026-25,HTTP Error 404: Not Found
aibidia,ashby,,4,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/aibidia/1a8380ab-d8b6-44f7-9607-b05f3becb8cc?embed=js,CC-MAIN-2026-34,
aida,ashby,,3,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/aida,CC-MAIN-2026-30,
aidkit,ashby,,2,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/aidkit/e82ed042-535b-4b0c-b1e9-417e4060c356,CC-MAIN-2026-34,
aim,ashby,,21,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/aim/c3aea728-84c4-4b6f-bf5d-4a0cf0b0ec8c?ref=reactjobs.io,CC-MAIN-2026-34,
aim4hire,ashby,,4,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/aim4hire/cbbae070-1e56-4aa1-a7b4-9b0a96666b09,CC-MAIN-2026-25,
AION%20Biosciences,ashby,,4,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/AION%20Biosciences/aa7f5eaf-dbd3-4c86-8d65-d6d46cdd2910?utm_source=Long+Journey+Ventures+job+board&utm_medium=getro.com&gh_src=Long+Journey+Ventures+job+board,CC-MAIN-2026-34,
aios,ashby,,17,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/aios/753825b2-508b-4bab-af1a-89e56a5ed29f/application,CC-MAIN-2026-34,
aiprise,ashby,,13,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/aiprise/f40fe1a3-8a70-480b-8df8-0cafcd471fee/application?utm_source=DZWAomlRjr,CC-MAIN-2026-34,
airapps,ashby,,0,error,not_validated,,,,,,https://jobs.ashbyhq.com/airapps,CC-MAIN-2026-34,JSONDecodeError: Unterminated string starting at: line 1 column 1991035 (char 1991034)
airbyte,ashby,,11,200,sponsor_matched,airbyte-inc,"Airbyte, Inc.",0.99,3,2025,https://jobs.ashbyhq.com/airbyte,CC-MAIN-2026-34,
airgarage,ashby,,5,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/airgarage/2d8f245e-b224-40da-a8fc-0ef2f19dba88,CC-MAIN-2026-34,
airkit,ashby,,0,404,not_validated,,,,,,https://jobs.ashbyhq.com/airkit/,CC-MAIN-2026-17,HTTP Error 404: Not Found
airops,ashby,,12,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/airops/1de69cf3-0722-44f2-a2d4-cd24a334e9df,CC-MAIN-2026-34,
airplane,ashby,,0,404,not_validated,,,,,,https://jobs.ashbyhq.com/airplane/c1318a84-a491-4202-82f7-74eeec69079b,CC-MAIN-2026-25,HTTP Error 404: Not Found
airspace-intelligence.com,ashby,,28,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/airspace-intelligence.com/6009a6a4-5bfe-48f8-971e-c669cc5a66d2,CC-MAIN-2026-34,
airspeed,ashby,,3,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/airspeed,CC-MAIN-2026-30,
airtasker,ashby,,5,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/airtasker/682a1694-f66b-455b-b1cb-5aec62ccac44,CC-MAIN-2026-30,
airwallex,ashby,,0,error,not_validated,,,,,,https://jobs.ashbyhq.com/airwallex/00c7eb88-b9a9-4516-90d5-2ea9b9e00d83?utm_source=Airtree+job+board&utm_medium=getro.com&gh_src=Airtree+job+board,CC-MAIN-2026-34,JSONDecodeError: Unterminated string starting at: line 1 column 1957752 (char 1957751)
Airweave,ashby,,0,404,not_validated,,,,,,https://jobs.ashbyhq.com/Airweave/227256be-efd3-4f39-b042-4c9d4bbc33ec,CC-MAIN-2026-34,HTTP Error 404: Not Found
aisle,ashby,,7,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/aisle/207a1da3-e2fa-4ee1-a5e8-7948fb848341,CC-MAIN-2026-34,
aiuc,ashby,,13,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/aiuc/0fbdba93-57e9-4833-bdc4-aee539ecda14?utm_source=Emergence+Capital+job+board&utm_medium=getro.com&gh_src=Emergence+Capital+job+board,CC-MAIN-2026-34,
aiwyn,ashby,,9,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/aiwyn/4349c890-0748-428c-a505-3cb7ca68733d?utm_source=Relevance+Ventures+job+board&utm_medium=getro.com&gh_src=Relevance+Ventures+job+board,CC-MAIN-2026-34,
aizen,ashby,,0,404,not_validated,,,,,,https://jobs.ashbyhq.com/aizen/4bb08ddb-9592-41b6-be9f-0b6a07d5728c,CC-MAIN-2026-21,HTTP Error 404: Not Found
Ajax,ashby,,6,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/Ajax/5a82d07e-8efd-4e0e-a7ca-762e27ba9c1b,CC-MAIN-2026-12,
aka,ashby,,5,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/aka,CC-MAIN-2026-30,
akasa,ashby,,14,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/akasa/09c7bee7-6f13-4d4b-9726-3b0e198610f6?utm_source=YQR7QAeLve,CC-MAIN-2026-34,
akur8,ashby,,8,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/akur8/fef920fd-8ed5-4b48-977b-ae3af4f7995c?utm_source=MTech+Capital+job+board&utm_medium=getro.com&gh_src=MTech+Capital+job+board,CC-MAIN-2026-34,
alan,ashby,,98,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/alan,CC-MAIN-2026-34,
alaro,ashby,,2,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/alaro,CC-MAIN-2026-34,
alcazar-energy,ashby,,16,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/alcazar-energy/4efbf029-28b9-465a-9aef-34d8563fde16/application,CC-MAIN-2026-34,
alchemy,ashby,,22,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/alchemy/07f23db8-28b1-4916-8209-0cb0e1de3fad?utm_source=Arbitrum+job+board&utm_medium=getro.com&gh_src=Arbitrum+job+board,CC-MAIN-2026-34,
alembic,ashby,,9,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/alembic/1b652371-4b55-4aa7-97f0-c33ecd94d290?utm_source=m%5Dx%5Bv+Capital+job+board&utm_medium=getro.com&gh_src=m%5Dx%5Bv+Capital+job+board,CC-MAIN-2026-34,
aleph,ashby,,11,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/aleph/abdd59be-974f-4b0b-bf32-d6206d925fe9,CC-MAIN-2026-34,
AlephAlpha,ashby,,1,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/AlephAlpha,CC-MAIN-2026-34,
aletiq,ashby,,0,404,not_validated,,,,,,https://jobs.ashbyhq.com/aletiq,CC-MAIN-2026-21,HTTP Error 404: Not Found
alexai,ashby,,5,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/alexai/c80f8b6d-4996-4d3a-ab5b-94121de33eb5?utm_source=645+Ventures+job+board&utm_medium=getro.com&gh_src=645+Ventures+job+board,CC-MAIN-2026-30,
algo1,ashby,,6,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/algo1/5a6d4f94-11df-41e7-bd51-9aee3d350eae,CC-MAIN-2026-17,
algorithmiq.fi,ashby,,0,404,not_validated,,,,,,https://jobs.ashbyhq.com/algorithmiq.fi,CC-MAIN-2026-12,HTTP Error 404: Not Found
allarahealth,ashby,,0,error,not_validated,,,,,,https://jobs.ashbyhq.com/allarahealth,CC-MAIN-2026-34,JSONDecodeError: Unterminated string starting at: line 1 column 1996809 (char 1996808)
allen-control-systems,ashby,,74,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/allen-control-systems/1c0e859b-e24e-4aae-b68d-ae2ac26e8015/application?utm_id=13788505&utm_source=EEJobboard,CC-MAIN-2026-34,
allica-bank,ashby,,40,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/allica-bank/04f6a90c-99c9-4c5c-8430-f0569d7f8469?utm_source=Technology+Crossover+Ventures+job+board&utm_medium=getro.com&gh_src=Technology+Crossover+Ventures+job+board,CC-MAIN-2026-34,
allinbits,ashby,,0,404,not_validated,,,,,,https://jobs.ashbyhq.com/allinbits,CC-MAIN-2026-21,HTTP Error 404: Not Found
allium,ashby,,12,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/allium/0e9cf833-0ae3-4314-abe4-20aece623aaa,CC-MAIN-2026-34,
alljoined,ashby,,6,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/alljoined/12594e5d-7933-4496-a453-444e6ca73de3,CC-MAIN-2026-34,
allminds,ashby,,0,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/allminds/18f10238-cdf9-48dd-b9e1-e590076cc2ab,CC-MAIN-2026-30,
allocate,ashby,,19,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/allocate/fcb44898-270a-4c80-aff6-34e2c44e51b5,CC-MAIN-2026-34,
alloyenterprises,ashby,,5,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/alloyenterprises,CC-MAIN-2026-30,
alloyriver,ashby,,1,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/alloyriver/d07ca014-ee62-408d-a608-e4e5eb86654a?utm_source=Portage+job+board&utm_medium=getro.com&gh_src=Portage+job+board,CC-MAIN-2026-34,
allspice,ashby,,8,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/allspice/99ded9f3-4de0-420e-bedb-5035c0b18905?utm_source=Benchstrength+job+board&utm_medium=getro.com&gh_src=Benchstrength+job+board,CC-MAIN-2026-25,
almabase,ashby,,5,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/almabase/8754e4f9-9126-4d1d-8be3-7aa9221629d1/application,CC-MAIN-2026-17,
almedia,ashby,,48,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/almedia/1a6a3655-3968-4e37-876f-2ab4ef932d89/application,CC-MAIN-2026-34,
almetra,ashby,,14,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/almetra/5ac0de83-fd0f-4e16-8caa-656950e2e6f6,CC-MAIN-2026-34,
alotten-inc,ashby,,1,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/alotten-inc/078a9f96-0b98-4bca-9011-1757ee6028a1,CC-MAIN-2026-12,
Alpaca,ashby,,0,404,not_validated,,,,,,https://jobs.ashbyhq.com/Alpaca/30ca14e5-1e4e-42b3-8a02-b43a0b808ff1,CC-MAIN-2026-34,HTTP Error 404: Not Found
alpacahealth,ashby,,0,error,not_validated,,,,,,https://jobs.ashbyhq.com/alpacahealth,CC-MAIN-2026-34,JSONDecodeError: Unterminated string starting at: line 1 column 1994871 (char 1994870)
alpenlabs,ashby,,5,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/alpenlabs/cd3728d9-1177-4805-a724-4560fcc74a0b?utm_source=Castle+Island+Ventures+job+board&utm_medium=getro.com&gh_src=Castle+Island+Ventures+job+board,CC-MAIN-2026-34,
alpha-design-ai-inc,ashby,,13,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/alpha-design-ai-inc/cece2075-03a5-48b1-8ce7-a294455c56d9,CC-MAIN-2026-30,
alphalifesci,ashby,,10,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/alphalifesci,CC-MAIN-2026-30,
alpic,ashby,,8,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/alpic,CC-MAIN-2026-30,
alta-ares,ashby,,28,200,unmatched_sponsor,,,,,,https://jobs.ashbyhq.com/alta-ares/00810c0c-02d1-4679-b3f5-9395107a75c4,CC-MAIN-2026-34,
altera.al,ashby,,0,404,not_validated,,,,,,https://jobs.ashbyhq.com/altera.al,CC-MAIN-2026-17,HTTP Error 404: Not Found
altercall,ashby,,0,404,not_validated,,,,,,https://jobs.ashbyhq.com/altercall/26087ee8-68cd-41ef-8292-e8e2cae7265c,CC-MAIN-2026-12,HTTP Error 404: Not Found
